trade_partner,sku,product_type,total_quantity,mean_quantity,median_quantity,total_gross_sales,mean_gross_sales,median_gross_sales,total_dcm,mean_dcm,median_dcm,total_demand,mean_demand,median_demand,mean_total_variable_cost,median_total_variable_cost,mean_price_final,median_price_final,mean_price_list,median_price_list,price_final_var,quantity_var,price_final_std,price_final_var_coeff,quantity_std,quantity_var_coeff
BODEGA AURRERA,8MWTW2224WJM,Washing Machine,87.0,1.2985074626865671,0.0,8356.03,124.7168656716418,0.0,-370178.1742079999,-5525.047376238805,0.0,977381.0,14587.776119402984,0.0,4379.383727399946,4376.117967722542,11234.264367816091,10990.0,13545.172413793103,13490.0,702191.3374038897,40.75802804161019,837.9685778141622,62.50443415018137,6.3842014411835555,31.388366422849227
BODEGA AURRERA,AF5001Z,Ranges,6.0,0.2857142857142857,0.0,14235.420000000002,677.877142857143,0.0,-1918.2164478776403,-91.34364037512573,0.0,35208.0,1676.5714285714287,0.0,2692.27274131294,2692.27274131294,5868.0,5790.0,6334.666666666667,6490.0,216643.54761904757,0.21428571428571433,465.4498336223224,36.91948664264614,0.46291004988627577,0.7500000000000002
BODEGA AURRERA,AF5333D,Ranges,653.0,15.547619047619047,4.0,2971306.31,70745.38833333334,0.0,1007060.5681010744,23977.632573835104,-2725.1310037297985,4609978.0,109761.38095238095,26778.0,2923.1981694144206,3011.9868988592507,7059.690658499234,6699.0,7611.758039816233,7590.0,307469.7049941926,783.5708478513358,554.4995085608215,43.552858031254765,27.99233551976926,50.398124976655595
BODEGA AURRERA,AF6271D,Ranges,145.0,3.625,3.0,0.0,0.0,0.0,-435428.3976510067,-10885.709941275167,-8632.841275167786,1080350.0,27008.75,24570.0,2930.622432885906,2877.613758389262,7450.689655172414,6990.0,8190.0,8190.0,438230.76923076925,13.317307692307692,661.9900068964555,58.81747724206187,3.649288655657112,3.673740053050398
BODEGA AURRERA,AF6272D,Ranges,1477.0,56.80769230769231,36.5,8713467.27,335133.3565384615,233237.405,3575719.206453821,137527.66178668544,106272.06693673966,11177730.0,429912.6923076923,279585.0,3478.502412692064,3478.502412692064,7567.860528097495,7290.0,8936.445497630331,8990.0,941784.6153846156,2848.001538461538,970.4558801844706,124.445292284129,53.36667067057433,50.134082599864584
BODEGA AURRERA,AF6423D,Ranges,24.0,3.0,0.0,0.0,0.0,0.0,-94888.50615562107,-11861.063269452634,0.0,189360.0,23670.0,0.0,3953.687756484211,3953.687756484211,7890.0,7890.0,9890.0,9890.0,553571.4285714285,65.42857142857143,744.0238091428449,70.161144305631,8.088792952509753,21.80952380952381
BODEGA AURRERA,AFR4112B,Ranges,192.0,4.682926829268292,2.0,0.0,0.0,0.0,-569206.1094977168,-13883.075841407726,-6197.126940639268,1252506.0,30548.926829268294,13380.0,2988.9801280766233,2943.6352968036526,6523.46875,5990.0,7553.2734375,7290.0,1085357.890243903,84.97195121951223,1041.8051114502668,166.377418492869,9.218023173083925,18.145052083333344
BODEGA AURRERA,AFR4132G,Ranges,385.0,8.953488372093023,6.0,0.0,0.0,0.0,-1172469.4112809733,-27266.73049490636,-19142.357735199563,2862750.0,66575.58139534884,48930.0,3082.809937587372,3030.8733080732645,7435.714285714285,7490.0,8636.753246753247,8490.0,198693.2447397564,118.18826135105198,445.75020441919753,26.72147383627848,10.871442468736703,13.200247371675935
BODEGA AURRERA,AFR7149G,Ranges,3.0,0.42857142857142855,0.0,0.0,0.0,0.0,-12219.723546202224,-1745.6747923146033,0.0,27470.0,3924.285714285714,0.0,4123.404250812081,4213.697774552491,9156.666666666666,8990.0,10990.0,10990.0,1035714.2857142856,0.28571428571428564,1017.7004891982148,113.11040615736647,0.5345224838248487,0.6666666666666665
BODEGA AURRERA,ALD1545JE,Washing Machine,58.0,1.2608695652173914,1.0,194135.22000000003,4220.330869565218,0.0,44689.976795031784,971.521234674604,0.0,304555.0,6620.760869565217,5157.5,2533.42605634682,2597.9719431327258,5250.948275862069,5290.0,5290.0,5290.0,49652.077294685994,3.4859903381642576,222.82746081819897,9.455830582626415,1.8670806994247082,2.764750957854411
